id,s_node_id,e_node_id
168,11243,10032
169,10032,11243
170,10032,10033
171,10033,10032
172,10033,10034
173,10034,10033
174,10034,10035
175,10035,10034
176,10035,2319
177,2319,10035
178,2319,693
179,693,2319
180,693,10036
181,10036,693
182,10036,10037
183,10037,10036
184,10037,5592
185,5592,10037
186,5592,10038
187,10038,5592
188,10038,5593
189,5593,10038
190,5593,5594
191,5594,5593
192,5594,5595
193,5595,5594
194,5595,10039
195,10039,5595
196,10039,5552
197,5552,10039
198,5552,10041
199,10041,5552
200,10041,5557
201,5557,10041
202,5557,10040
203,10040,5557
204,7689,10302
205,150,591
206,4918,150
207,536,777
208,363,536
209,6016,6017
210,8742,6016
211,119,104
212,4515,1055
213,1055,9725
214,4516,5056
215,9714,159
216,49,9706
217,2036,9711
218,9711,5675
219,1249,763
220,9712,9713
221,1181,866
222,831,4517
223,4700,14
224,869,4500
225,3897,240
226,487,165
227,105,462
228,438,4503
229,4503,1126
230,561,604
231,4869,6678
232,11054,1915
233,4716,1137
234,1137,376
235,376,6688
236,6688,6682
237,6682,4793
238,4793,6802
239,6802,10925
240,10925,10926
241,6780,6775
242,6775,1218
243,1218,1242
244,1242,4270
245,4270,408
246,408,4271
247,4271,1106
248,1106,7527
249,7527,4329
250,4329,7528
251,7528,11123
252,11123,10532
253,10532,4714
254,4714,6717
255,6717,7513
256,7513,287
257,287,7512
258,7512,4715
259,4715,802
260,802,7514
261,7514,4322
262,2131,4113
263,4113,10129
264,10129,10134
265,10134,4111
266,4111,2285
267,2285,10156
268,10156,248
269,248,3282
270,3282,4107
271,4107,10161
272,1993,261
273,4570,5583
274,4575,4576
275,11267,11266
276,11266,11267
277,11266,5581
278,5581,11266
279,5581,5506
280,5506,5581
281,5506,5505
282,5505,5506
283,5505,9747
284,9747,5505
285,9747,9746
286,9746,9747
287,9746,9788
288,9788,9746
289,9788,9745
290,9745,9788
291,9745,5582
292,5582,9745
293,5582,9572
294,9572,5582
295,9572,9573
296,9573,9572
297,9573,5584
298,5584,9573
299,5584,9574
300,9574,5584
301,9574,9575
302,9575,9574
303,9575,9576
304,9576,9575
305,9576,9577
306,9577,9576
307,9577,9578
308,9578,9577
309,9578,9579
310,9579,9578
311,9579,9580
312,9580,9579
313,9580,11263
314,11263,9580
315,11263,9581
316,9581,11263
317,9581,6889
318,6889,9581
319,6889,11262
320,11262,6889
321,11262,4083
322,4083,11262
323,4083,4082
324,4082,4083
325,4082,9582
326,9582,4082
327,9743,3628
328,6685,1137
329,219,573
330,9374,9379
331,9379,4890
332,4890,9373
333,9373,9380
334,9380,3847
335,3847,5367
336,5367,1067
337,1067,9377
338,9377,4889
339,4889,9381
340,9381,9375
341,9375,3848
342,9378,9376
343,9376,407
344,407,2155
345,2155,2156
346,2156,7749
347,7749,2171
348,7748,4888
349,4888,9040
350,9040,703
351,4259,555
352,1289,8374
353,4893,5054
354,2082,8373
355,2084,4892
356,11191,4681
357,860,5280
358,9922,860
359,1200,8664
360,4246,756
361,813,947
362,702,8945
363,8945,5102
364,1097,8949
365,8946,86
366,8950,638
367,8947,856
368,856,728
